,volume,CloudPrcYear
1021,365409.3200000002,none
1022,818.34,1.0667
1023,366227.6600000002,none
1024,828.16,0.1899
1025,367055.8200000002,none
1026,832.28,0.0986
1027,367888.1000000002,none
1028,841.79,0.0
1029,368729.8900000002,none
1030,845.2,3.069
1031,369575.0900000002,none
1032,864.04,0.0172
1033,370439.1300000002,none
1034,867.74,11.8063
1035,371306.87000000017,none
1036,855.98,1.2934
1037,372162.85000000015,none
1038,836.86,0.0
1039,372999.71000000014,none
1040,837.33,0.128
1041,373837.04000000015,none
1042,825.15,0.6387
1043,374662.1900000002,none
1044,811.31,0.0116
1045,375473.5000000002,none
1046,835.74,0.05550000000000001
1047,376309.24000000017,none
1048,841.33,1.4022
1049,377150.5700000002,none
1050,841.65,0.1377
1051,377992.2200000002,none
1052,471.25,3.928
1053,378463.4700000002,none
1054,835.55,1.7753999999999999
1055,379299.0200000002,none
1056,737.25,58.04679999999999
1057,380036.2700000002,none
1058,812.79,2.3588
1059,380849.0600000002,none
1060,823.17,9.256
1061,381672.23000000016,none
1062,834.89,18.0886
1063,382507.12000000017,none
1064,803.18,0.045
1065,383310.30000000016,none
1066,808.21,0.0484
1067,384118.5100000002,none
1068,817.62,0.5849
1069,384936.1300000002,none
1070,828.57,0.5314
1071,385764.7000000002,none
1072,845.3,0.1148
1073,386610.0000000002,none
1074,844.71,0.1806
1075,387454.7100000002,none
1076,856.95,0.007200000000000001
1077,388311.6600000002,none
1078,859.3,0.0938
1079,389170.9600000002,none
1080,875.07,0.0187
1081,390046.0300000002,none
1082,875.73,2.3307
1083,390921.7600000002,none
1084,852.28,0.7605
1085,391774.0400000002,none
1086,855.35,0.0294
1087,392629.3900000002,none
1088,856.04,0.0
1089,393485.43000000017,none
1090,845.67,0.0654
1091,394331.10000000015,none
1092,829.44,0.003
1093,395160.54000000015,none
1094,845.9,0.0
1095,396006.4400000002,none
1096,824.49,0.9216000000000001
1097,396830.93000000017,none
1098,836.22,0.0038
1099,397667.15000000014,none
1100,854.65,0.6608
1101,398521.80000000016,none
1102,850.46,0.4474
1103,399372.2600000002,none
